GUÍA DEL USUARIO: SE ANEXAN DATOS DE AVISOS DE ARRIBO DE ESPECIES PESQUERAS CAPTURADAS EN MÉXICO DEL AÑO 2014. LAS ENTIDADES FEDERATIVAS SE ORDENAN ALFABETICAMENTE. |||||||||||||||
ENTIDAD FEDERATIVA|CLAVE SITIO DE DESEMBARQUE|NOMBRE SITIO DE DESEMBARQUE|LUGAR DE CAPTURA|CLAVE LUGAR DE CAPTURA|CLAVE OFICINA|OFICINA|MES|AÑO|NOMBRE PRINCIPAL|CLAVE ESPECIE|NOMBRE ESPECIE|PESO DESEMBARCADO|PESO VIVO|VALOR|LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|1150|1150|23000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|SEPTIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|1780|1780|35600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|435|435|8700|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|MARZO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|630|630|12600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|JULIO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|985|985|19700|SIN LITORAL
AGUASCALIENTES|101001|CORTINA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|OCTUBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|2300|2300|46000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA ABELARDO L RODRIGUEZ|101003|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|2355|2355|47100|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|FEBRERO|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|100|100|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|80|80|2000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|NOVIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|60|60|1500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|NOVIEMBRE|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|70|70|2100|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|AGOSTO|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|120|120|3600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|AGOSTO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|80|80|2000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|ABRIL|2014|CARPA|2091411H|CARPA ENT. FCA.|150|150|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|MAYO|2014|CARPA|2091411H|CARPA ENT. FCA.|300|300|6000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|MAYO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|150|150|4500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|SEPTIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|70|70|1750|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|SEPTIEMBRE|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|80|80|2400|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|ENERO|2014|CARPA|2091411H|CARPA ENT. FCA.|80|80|1600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|ENERO|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|80|80|2400|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|110|110|3300|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|MARZO|2014|CARPA|2091411H|CARPA ENT. FCA.|50|50|1250|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|MARZO|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|90|90|2700|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|MARZO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|70|70|1750|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|JULIO|2014|CARPA|2091411H|CARPA ENT. FCA.|100|100|2500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|JULIO|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|120|120|3600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|OCTUBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|80|80|2000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|OCTUBRE|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|100|100|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|DICIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|250|250|6250|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL JOCOQUI |101007|101|AGUASCALIENTES|DICIEMBRE|2014|LOBINA|4201414H|LOBINA NEGRA ENT. FCA.|200|200|7000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|FEBRERO|2014|CARPA|2091411H|CARPA ENT. FCA.|100|100|2000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|8750|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|480|480|16800|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|AGOSTO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|560|560|19600|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|1325|1325|46375|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|MAYO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|753|753|26355|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|SEPTIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|600|600|21000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|420|420|14700|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|MARZO|2014|CARPA|2091411H|CARPA ENT. FCA.|150|150|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|MARZO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|350|350|12250|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|OCTUBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|740|740|25900|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA EL SAUCILLO (LAS HORMIGAS)|101006|101|AGUASCALIENTES|DICIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|8750|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|JUNIO|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|4000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|JUNIO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|AGOSTO|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|5000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|AGOSTO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|FEBRERO|2014|CARPA|2091411H|CARPA ENT. FCA.|250|250|6250|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|FEBRERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|200|200|6000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|NOVIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|250|250|6250|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|NOVIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|300|300|9000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|ABRIL|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|5000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|ABRIL|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|200|200|6000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|MAYO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|MAYO|2014|CARPA|2091411H|CARPA ENT. FCA.|300|300|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|SEPTIEMBRE|2014|CARPA|2091411H|CARPA ENT. FCA.|300|300|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|SEPTIEMBRE|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|400|400|12000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|ENERO|2014|CARPA|2091411H|CARPA ENT. FCA.|120|120|3000|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|ENERO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|150|150|4500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|MARZO|2014|CARPA|2091411H|CARPA ENT. FCA.|150|150|3750|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|MARZO|2014|MOJARRA|5011416H|TILAPIA ENT. FCA.|250|250|7500|SIN LITORAL
AGUASCALIENTES|101002|RIBERA DE LA PRESA|PRESA GUADALUPE (DEL MUERTO)|101004|101|AGUASCALIENTES|JULIO|2014|CARPA|2091411H|CARPA ENT. FCA.|200|200|5000|SIN LITORAL
