AÑO,ESTADO,MUNICIPIO,LOCALIDAD,RNP_TITULAR,RAZÓN SOCIAL,ZONA_OPERACION,RNP_EMBARCACION,EMBARCACIÓN,MATRÍCULA,PESQUERÍA,PERMISO,FECHA_INICIO,FECHA_TERMINO
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508005366,"OPERADORA MARÍTIMA DEL PACÍFICO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,26609,MAIKE,25032791237,ESCAMA MARINA,126070993132,2012-11-28,2014-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009905,"PESCA Y COMERCIALIZADORA DEL PACIFICO, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO,43836,XEL-HA,0202044323-2,ESCAMA,1020309930348,2012-11-28,2016-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508006778,"PESQUERA JUSAJELI, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO.,40881,DON AGUSTIN VIII,2503059121-2,CALAMAR GIGANTE,125080167129,2012-11-28,2014-11-27
2012,SINALOA,MAZATLÁN,MAZATLÁN,2508009624,"PESQUERA MIRYAM, S.A. DE C.V.","DE ACUERDO A LO SEÑALADO EN EL ART. 2° FRACC. III, 6° FRACC. III Y XII DE LA LGPAS, ASI COMO EN LO ESTABLECIDO EN LA CARTA NACIONAL PESQUERA PUBLICADA EN EL D.O.F. EL 24/08/2012, EL ÁREA DE OPERACIÓN SE CIRCUNSCRIBE A LAS AGUAS DE JURISDICCIÓN FEDERAL DEL OCEANO PACIFICO ADYACENTES AL ESTADO DE SINALOA. ASÍ MISMO SE ATENDRÁ A LO QUE SEÑALE EL PLAN DE MANEJO PUBLICADO POR EL INAPESCA.",36921,SAN JOSE,2503168133-9,PELAGICOS MENORES,12604779343,2012-11-28,2016-11-27
2012,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,2607004385,"PESQUERA PIAXTLA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO Y GOLFO DE CALIFORNIA.,50310,MISTER I,2601019723-2,CALAMAR GIGANTE,12604716796,2012-11-28,2014-11-27
2012,SINALOA,MAZATLÁN,MAZATLAN,2508006232,"PESQUERA SANTA CATALINA, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACÍFICO.,59121,SANTA CATALINA I,2503004823-4,TIBURON,12508083220,2012-11-28,2016-04-30
2012,BAJA CALIFORNIA,TIJUANA,TIJUANA,203015268,"POWERGLASS, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,55194,TRAMAFAT,2503021923-3,CALAMAR,12508016782,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,TIJUANA,TIJUANA,203015268,"POWERGLASS, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,55194,TRAMAFAT,2503021923-3,CAMARON DE ALTAMAR,12508014250,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,TIJUANA,TIJUANA,203015268,"POWERGLASS, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,55186,PAULINA,0202106323-7,CALAMAR,12508016781,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,TIJUANA,TIJUANA,203015268,"POWERGLASS, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCEANO PACIFICO.,55186,PAULINA,0202106323-7,CAMARON DE ALTAMAR,12508014251,2012-11-28,2014-11-27
2012,BAJA CALIFORNIA,TIJUANA,TIJUANA,203015268,"POWERGLASS, S.A. DE C.V.",AGUAS DE JURISDICCIÓN FEDERAL DEL LITORAL DEL OCÉANO PACIFICO.,55194,TRAMAFAT,2503021923-3,PEZ ESPADA,10203071648,2012-11-28,2014-11-27
