AÑO ,ESTADO,MUNICIPIO,LOCALIDAD, RNP TITULAR,TITULAR,PESQUERIA,FECHA INICIO,FECHA TERMINO,N°  EMB. ,NOMBRE EMBARCACIÓN,MATRICULA,ZONA DE PESCA
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,NIDIA,2602259113-2,BAHIA DE LOBOAS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,BOMBON,2602258813-9,BAHIA DE LOBOAS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,TITANIC,2602266813-5,BAHIA DE LOBOAS AL COLORADO
2012,SONORA,EMPALME,EMPALME,2604010500,"SCPP DE R Y A ""LOS CAIMANES"" SCL",CAMARON DE ESTERO,09-21-12,09-20-16,1,ESMERALDA,2602259713-8,BAHIA DE LOBOAS AL COLORADO
2012,SINALOA,AHOME,EL COLORADO,2507001416,"SCPP ENRIQUE ATONDO FAVELA, SC DE RL",ESCAMA,07-18-12,07-17-16,10,VARIAS,,"LITORAL DEL OCÉANO PACÍFICO, EN AGUAS DE JURISDICCIÓN FEDERAL DEL ESTADO DE SINALOA"
2012,SINALOA,ANGOSTURA,LA REFORMA,2506000153,"SCPP EUGENIO SANCHEZ CUADRAS, SCL",JAIBA,06-28-12,06-27-16,6,VARIAS,,"BAHÍA DE SANTA MARÍA, CORRESPONDIENTE AL MUNICIPIO DE ANGOSTURA, EN EL ESTADO DE SINALOA"
2012,SINALOA,AHOME,C. PESQ. PAREDONES,2511001063,"SCPP EUSTAQUI URIAS VALDEZ, SC DE RL",JAIBA,06-28-12,06-27-16,6,VARIAS,,"BAHÍA CHUIRA, TOPOLOBAMPO, SANTA MARÍA Y AGUAS MARINAS DEL MUNICIPIO DE AHOME, EN EL ESTADO DE SINALOA"
2012,OAXACA,JUCHITAN DE ZARAGOZA,SANTA MARIA DEL MAR,2001000153,"SCPP FUERZA DEL PUEBLO, S. DE R.L. DE C.V.",ESCAMA MARINA,06-05-12,06-04-16,25,VARIAS,,"LAGUNA INFERIOR, LAGUNA SUPERIOR Y MAR TILEME"
2012,SINALOA,AHOME,C.PESQ. EL COLORADO,2507003032,"SCPP LEYVA COTA, SC DE RL",JAIBA,04-26-12,04-25-16,6,VARIAS,,"BAHÍA DE LECHUGUILLA Y SANTA MARÍA, CORRESPONDIENTE AL MUNICIPIO DE AHOME, EN EL ESTADO DE SINALOA"
2012,SINALOA,AHOME,LAS GRULLAS MARGEN DERECHO,2507005037,"SCPP NARCISO ADRIAN COTA PIÑATA, SC DE RL DE CV",JAIBA,05-18-12,05-17-16,6,VARIAS,,"BAHÍA LA ROBALERA, ESTERO DEL RIO FUERTE Y GOLFO DE CALIFORNIA, FRENTE A LAS COSTAS DEL  MUNICIPIO DE AHOME, EN EL ESTADO DE SINALOA"
2012,SINALOA,ANGOSTURA,LA REFORMA,2506000229,"SCPP NICOLAS ESCARREGA INZUNZA, SCL DE CV",JAIBA,06-28-12,06-27-16,6,VARIAS,,"BAHÍA DE SANTA MARÍA, CORRESPONDIENTE AL MUNICIPIO DE ANGOSTURA, EN EL ESTADO DE SINALOA"
2012,SINALOA,ESCUINAPA,ESCUINAPA,2504000759,SCPP PALMITO DEL VERDE DE RL DE CV,CAMARON DE ESTERO,07-23-12,07-22-16,18,VARIAS,,"AL NORTE DE LA ZONA CONOCIDA COMO PANZACOLA EN EL PUNTO 22° 43' 15"" L.N.  105° 46' 46"" L.W. Y EN LA PARTE MEDIA DE LA LAGUNA CALERAS UBICADA POR LOS PUNTOS 22° 41' 47""  105° 45' 02"" L.W. Y 22° 41' 47"" L.W."
2012,SINALOA,ESCUINAPA,TEACAPAN,2504001567,"SCPP PESCADORES DE LA BRECHA, SCL",JAIBA,06-22-12,06-21-16,6,VARIAS,,"BARRA DE TEACAPAN, LA BRECHA Y LAGUNA AGUA GRANDE, EN EL ESTADO DE SINALOA"
2012,SINALOA,ANGOSTURA,LA REFORMA,2508000112,"SCPP PUNTA DE GUADARON, S DE RL DE CV",JAIBA,06-28-12,06-27-16,6,VARIAS,,"BAHÍA SANTA MARÍA, EN EL ESTADO DE SINALOA"
2012,SINALOA,GUASAVE,EL HUTUSSI,2505001194,SCPP RIBEREÑA ISIDRO CHICUATE LEAL S. DE RL DE CV,JAIBA,07-06-12,07-05-16,4,VARIAS,,"BAHÍA DE MACAPULE, NAVACHISTE Y VINORAMA, EN EL ESTADO DE SINALOA"
2012,OAXACA,SAN PEDRO POCHUTLA,PUERTO ANGEL,2003000698,"SCPP RIBEREÑA PORTEÑOS, S.C. DE R.L.",ESCAMA MARINA,05-04-12,05-03-16,12,VARIAS,,"LITORAL DEL OCEANO PACIFICO DE BAHIA DE SANTA CRUZ, HUATULCO, A SANTA ELENA TONAMECA "
2012,SINALOA,AHOME,EJ. LAS GRULLAS,2507000434,"SCPP Y DE ACUACULTURA MELESIO TORRES, SC DE RL",JAIBA,07-18-12,07-17-16,6,VARIAS,,"LITORAL DEL OCÉANO PACÍFICO CORRESPONDIENTE AL MUNICIPIO DE AHOME, EN EL ESTADO DE SINALOA"
2012,SINALOA,AHOME,EJ. LAS GRULLAS,2507000434,"SCPP Y DE ACUACULTURA MELESIO TORRES, SC DE RL",ESCAMA,07-18-12,07-17-16,5,VARIAS,,AGUAS DE JURISDICCIÓN FEDERAL EN EL ESTADO DE SINALOA
2012,SINALOA,AHOME,EL JITZAMURI,2507002778,"SCPP YORIBAGUE, SC DE RL DE CV",JAIBA,06-22-12,06-21-16,6,VARIAS,,"BAHÍA DE JITZAMURI Y GOLFO DE CALIFORNIA, CORRESPONDIENTE AL MUNICIPIO DE AHOME, EN EL ESTADO DE SINALOA"
2012,GUERRERO,LA UNION,ZACATULA,1202001929,SCPP ZACATULA. SC DE RL,ESCAMA,11-14-12,11-13-17,9,VARIAS,,LITORAL DEL ESTADO DE GUERRERO
2012,OAXACA,STO. D TEHUANTEPEC,STA. GERTRUDIS MIRAMA,20050003781,"SCPP. BAHÍA CHIPEHUA, S.C. DE C.V.",ESCAMA MARINA,07-06-12,07-05-16,2,VARIAS,,"LITORAL DEL ESTADO DE OAXACA, COMPRENDE DE BARRA DE SAN FRANCISCO A BARRA DE MORRO AYUTA EN EL EJERCICIO DEL PRESENTE DEBERÁ DARSE CUMPLIMIENTO AL CONTENIDO DEL ARTICULO 88 FRACCIONES II Y IV DE LA LEY GENERAL DEL EQUILIBRIO ECOLÓGICO Y PROTECCIÓN AL AMBIENTE."
2012,GUERRERO,MARQUELIA,BARRA DE TECOANAPA,1205001884,"SCPP. BAHIA DE TECOANAPA, SCL. DE C.V.",ESCAMA,12-05-12,12-04-17,9,VARIAS,,LITORAL DEL ESTADO DE GUERRERO
2012,OAXACA,SAN PEDRO HUAMELULA,EL COYUL,2005003840,"SCPP. CAMINO AL CIELO, S.C. DE R.L. DE C.V.",TIBURON,07-06-12,04-30-16,1,ZOBEIDA II,2003053713-5,"EN EL LITORAL DEL ESTADO DE OAXACA, COMPRENDE 5 KMS. DE DIAMETRO FUERA DE LA DESEMBOCADURA DEL RIO COPALITA HASTA BAHÍA BAMBA"
2012,GUERRERO,MARQUELIA,MARQUELIA,1205000118,"SCPP. EJIDAL RIBEREÑA MARQUELIA, SC DE RL DE CV",OSTION DE ROCA,06-15-12,14/062017,2,VARIAS,,BANCOS LOZALIZADOS DE LAS PEÑITAS A LA BALLENA (LIT. EDO. GRO.)
2012,SINALOA,ESCUINAPA,TEACAPAN,2504000304,"SCPP. PESCADORES Y OSTIONEROS DE TEACAPAN, S. DE  R.L. DE C.V.",CAMARON DE ESTERO,07-11-12,07-10-16,9,VARIAS,,EN LA PARTE MEDIA DE LA LAGUNA CALERAS UBICADA POR LOS PUNTOS  
2012,SINALOA,ESCUINAPA,TEACAPAN,2504000304,"SCPP. PESCADORES Y OSTIONEROS DE TEACAPAN, S. DE  R.L. DE C.V.",CAMARON DE ESTERO,09-13-12,09-12-16,1,,,"EN LOS SISTEMAS  LAGUNARES AGUA GRANDE, CAMICHIN, LA BRECHA, LA PALMA, ALGODONES, LA CRUZ Y ESTERO LA CEBOLLA"
2012,GUERRERO,ACAPULCO DE JUAREZ,LA ZANJA,1201007927,"SOC. COOP. DE PESCADORES LOS TRIUNFADORES, SC DE RL",ESCAMA DE AGUA DULCE,07-19-12,07-18-16,2,VARIAS,,LAGUNA DE TRES PALOS
2012,NAYARIT,SAN BLAS,SAN BLAS,1802002038,"SOC. COOP. DE PROD. PESQ. PONCHO SOTO, S.C. DE R.L. DE C.V. ",ESCAMA MARINA,06-21-12,06-20-16,2,VARIAS,,AGUAS NACIONALES DEL LITORAL DEL ESTADO DE NAYARIT
2012,COLIMA,TECOMAN,TECOMAN,602000192,"SOC. COOP. DE PROD. PESQ. VASO DE AMELIA, S.C.L.",LANGOSTINO,12-03-12,12-02-16,6,VARIAS,,LAGUNA VASO DE AMELA
2012,NAYARIT,EL NAYAR,CUAUHTEMOC,1804001236,"SOC. COOP. DE PROD. PESQ. Y A. EJIDO CUAUHTEMOC, S.C. DE R.L DE C.V.",ESCAMA DE AGUA DULCE,06-21-12,06-20-17,11,VARIAS,,"AGUAS NACIONALES DEL EMBALSE DE AGUAMILPA, NAYARIT."
2012,NAYARIT,SAN BLAS,SAN BLAS,1802000966,"SOC. COOP. SAN BLAS Y BOCA DEL ASADERO, S.C. DE R.L. DE C.V.",OSTION DEPLACER,06-08-12,06-07-16,3,VARIAS,,"EN LOS BANCOS DE ORTIÓN UBICADOS EN AGUAS NACIONALES DE LOS ESTEROS SAN CRITOBAL, EL POZO, BOCA CEGADA Y DE BOCA DE ASADERO EN EL MUNICIPIO DE SAN BLAS NAYARIT."
