Area_adscripcion|Apellido_materno|Apellido_materno|Nombre|Nombre_puesto_en_maestro
CONAPESCA|GALLARDO|AGUIRRE|ENRIQUE|OFICIAL DE PESCA
SINALOA|HERNANDEZ|GOMEZ|BULMARO ROGELIO|OFICIAL DE PESCA
SINALOA|HERNANDEZ|ALARCON|JOSE ALBERTO|OFICIAL DE PESCA
SINALOA|LEAL|GAXIOLA|PASCACIO ALFREDO|OFICIAL DE PESCA
SINALOA|LOPEZ|ZAMORA|ABRAHAM|OFICIAL DE PESCA
SINALOA|VALDEZ|ESPINOZA|JESUS EDUARDO|OFICIAL DE PESCA
SINALOA|BUENO |NAVARRO|JESUS MANUEL GUADALUPE|OFICIAL DE PESCA
SINALOA|BELTRAN|VELARDE|MARCO ANTONIO|OFICIAL DE PESCA
SINALOA|AYALA|COTA|FRANCISCO JAVIER|OFICIAL DE PESCA
SINALOA|MENDOZA|GUEVARA|JUAN ALKAID|OFICIAL DE PESCA
CONAPESCA|CRUZ|DE LA CRUZ|JUAN PAUL|OFICIAL DE PESCA
JALISCO|LEYVA|LEYVA|FIDEL ANTONIO|OFICIAL DE PESCA
SINALOA|MEJÍA|LÓPEZ|MARTÍN|OFICIAL DE PESCA
SINALOA|MENDOZA|BAÑUELOS|HÉCTOR MARTÍN|OFICIAL DE PESCA
SINALOA|MARSHALL|ESTRADA|FERNANDO|OFICIAL DE PESCA
SINALOA|MONTAÑO|ENG|RAFAEL|OFICIAL DE PESCA
SINALOA|POLLORENA|AUDEVES|SILVESTRE|OFICIAL DE PESCA
SINALOA|SANCHEZ|TOLOSA|JORGE GUILLERMO|OFICIAL DE PESCA
SINALOA|SORIA|MONTES|FRANCISCO|OFICIAL DE PESCA
SINALOA|ZATARAIN|CAMACHO|FERNANDO|OFICIAL DE PESCA
OAXACA|RIVERA|GIL|JOSE GUILLERMO|OFICIAL DE PESCA
SINALOA|MONTENEGRO|LOZANO|ENRIQUE DE JESUS|OFICIAL DE PESCA
SONORA|INTERIAN|LÓPEZ|MARIO ANGEL|OFICIAL DE PESCA
SONORA|CANO|CORONA|DULCE MARÍA|OFICIAL DE PESCA
SONORA|FIERRO|FLORES|JUSTO RAMÓN|OFICIAL DE PESCA
CONAPESCA|LEYVA|GASTELUM|KARLOS FABRICIO|OFICIAL DE PESCA
SINALOA|CASTILLO|NICOLÁS|JOSÉ DE JESÚS|OFICIAL DE PESCA
SONORA|EUGENIO|ZEFERINO|JOSÉ|OFICIAL DE PESCA
SINALOA|GUTIERREZ|SERNA|JAVIER|OFICIAL DE PESCA
SONORA|SEEFOO|CASILLAS|FRANCISCO JOSE|OFICIAL DE PESCA
SONORA|CAMACHO|ORDUÑO|ALDO IVAN|OFICIAL DE PESCA
SONORA|CRESPO|HERNANDEZ|JUAN CARLOS|OFICIAL DE PESCA
SONORA|GUZMAN|GUZMAN|DAVID JONATHAN|OFICIAL DE PESCA
SONORA|LIZARRAGA|TIZNADO|JUAN PABLO|OFICIAL DE PESCA
SONORA|ARISPURO|SALAS|NEKER ALEJANDRO|OFICIAL DE PESCA
BAJA CALIFORNIA|LIZARRAGA|OSUNA|OSCAR RAMON|OFICIAL DE PESCA
OAXACA|JUAREZ|PEREZ|RICARDO|OFICIAL DE PESCA
SONORA|LIZARRAGA|ARRIAGA|JOSE ALFONSO|OFICIAL DE PESCA
SONORA|BURGOS|OSUNA|GERARDO FELIPE|OFICIAL DE PESCA
SONORA|ESPEJEL|DIAZ|WILIAM|OFICIAL DE PESCA
TABASCO|ARJONA|SÁNCHEZ|DACIA MARCELA|OFICIAL DE PESCA
TABASCO|RODRIGUEZ|SAMOS|RICARDO RAFAEL|OFICIAL DE PESCA
TABASCO|SANCHEZ|RAMIREZ |SALVADOR|OFICIAL DE PESCA
TAMAULIPAS|MARQUEZ|ESCUDERO|SAUL|OFICIAL DE PESCA
CHIAPAS||SALAZAR|LUIS EDUARDO|OFICIAL DE PESCA
