Tipo,Estado,Año,Incautadas
Embarcaciones,Guanajuato,2012,9
Embarcaciones,Guanajuato,2013,23
Embarcaciones,Guerrero,2009,8
Embarcaciones,Guerrero,2010,4
Embarcaciones,Guerrero,2011,8
Embarcaciones,Guerrero,2012,28
Embarcaciones,Guerrero,2013,14
Embarcaciones,Hidalgo,2009,1
Embarcaciones,Hidalgo,2010,-0
Embarcaciones,Hidalgo,2011,-0
Embarcaciones,Hidalgo,2012,-0
Embarcaciones,Hidalgo,2013,1
Embarcaciones,Jalisco,2009,5
Embarcaciones,Jalisco,2010,12
Embarcaciones,Jalisco,2011,24
Embarcaciones,Jalisco,2012,24
Embarcaciones,Jalisco,2013,19
Embarcaciones,Michoacán,2009,3
Embarcaciones,Michoacán,2010,13
Embarcaciones,Michoacán,2011,22
Embarcaciones,Michoacán,2012,15
Embarcaciones,Michoacán,2013,12
Embarcaciones,Morelos,2009,-0
Embarcaciones,Morelos,2010,-0
Embarcaciones,Morelos,2011,-0
Embarcaciones,Morelos,2012,-0
Embarcaciones,Morelos,2013,-0
Embarcaciones,Nayarit,2009,37
Embarcaciones,Nayarit,2010,58
Embarcaciones,Nayarit,2011,44
Embarcaciones,Nayarit,2012,20
Embarcaciones,Nayarit,2013,24
Embarcaciones,Nuevo León,2009,-0
Embarcaciones,Nuevo León,2010,1
Embarcaciones,Nuevo León,2011,-0
Embarcaciones,Nuevo León,2012,-0
Embarcaciones,Nuevo León,2013,-0
Embarcaciones,Oaxaca,2009,4
Embarcaciones,Oaxaca,2010,5
Embarcaciones,Oaxaca,2011,8
Embarcaciones,Oaxaca,2012,2
Embarcaciones,Oaxaca,2013,2
Embarcaciones,Puebla,2009,-0
Embarcaciones,Puebla,2010,-0
Embarcaciones,Puebla,2011,-0
Embarcaciones,Puebla,2012,-0
Embarcaciones,Puebla,2013,-0
Embarcaciones,Querétaro,2009,4
Embarcaciones,Querétaro,2010,3
Embarcaciones,Querétaro,2011,3
Embarcaciones,Querétaro,2012,-0
Embarcaciones,Querétaro,2013,-0
Embarcaciones,Quintana Roo,2009,12
Embarcaciones,Quintana Roo,2010,11
Embarcaciones,Quintana Roo,2011,10
Embarcaciones,Quintana Roo,2012,16
Embarcaciones,Quintana Roo,2013,12
Embarcaciones,San Luis Potosí,2009,-0
Embarcaciones,San Luis Potosí,2010,-0
Embarcaciones,San Luis Potosí,2011,-0
Embarcaciones,San Luis Potosí,2012,1
Embarcaciones,San Luis Potosí,2013,-0
Embarcaciones,Sinaloa,2009,60
Embarcaciones,Sinaloa,2010,88
Embarcaciones,Sinaloa,2011,53
Embarcaciones,Sinaloa,2012,25
Embarcaciones,Sinaloa,2013,29
Embarcaciones,Sonora,2009,34
Embarcaciones,Sonora,2010,73
Embarcaciones,Sonora,2011,117
Embarcaciones,Sonora,2012,73
Embarcaciones,Sonora,2013,53
Embarcaciones,Tabasco,2009,14
Embarcaciones,Tabasco,2010,16
Embarcaciones,Tabasco,2011,7
Embarcaciones,Tabasco,2012,1
Embarcaciones,Tabasco,2013,3
Embarcaciones,Tamaulipas,2009,25
Embarcaciones,Tamaulipas,2010,13
Embarcaciones,Tamaulipas,2011,4
Embarcaciones,Tamaulipas,2012,1
Embarcaciones,Tamaulipas,2013,1
Embarcaciones,Tlaxcala,2009,4
