Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
3150026,31/01/2015,Baja California Sur,Comondú,Puerto San Carlos,FRENTE A LA HERRADURA,Captura ilegal,Embarcación Mayor,Atendido,CAMARON
3150027,01/02/2015,Baja California Sur,Comondú,Puerto San Carlos,EL CURRIS,Captura ilegal,Embarcación Mayor,Atendido,SARDINA
2150028,02/02/2015,Baja California,Mexicali,San Felipe,SAN FELIPE,Otros,Otros,Atendido,-1
14150029,03/02/2015,Jalisco,Tizapán el Alto,Tizapán el Alto,MISMALOYA-TIZAPAN EL ALTO-TUXCUECA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150030,04/02/2015,Jalisco,Tuxcueca,El Tepeguaje,"TUXCUECA, PUERTA DE SAN LINOLAS CON LA ANGOSTURA,",Captura ilegal,Arte de pesca,Atendido,CHARAL
14150031,04/02/2015,Jalisco,Unión de Tula,Tacotán (La Alpatahua),PRESA RAMON CORONA TRIGO MIL,Captura ilegal,Arte de pesca,Atendido,CARPA
6150032,04/02/2015,Colima,Manzanillo,Playa de Oro,BOCA DEL COCO,Captura ilegal,Arte de pesca,Atendido,CORVINA
14150033,05/02/2015,Jalisco,Atotonilco el Alto,Atotonilco el Alto,RIO SANTIAGO,Captura ilegal,Otros,Atendido,OTRAS
18150034,06/02/2015,Nayarit,Bahía de Banderas,Las Jarretaderas,DESEMBOCADURA DEL RIO AMECA,Captura ilegal,Embarcación Menor,Sin atender,OTRAS
26150035,06/02/2015,Sonora,San Luis Río Colorado,Golfo de Santa Clara,GOLFO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
14150036,07/02/2015,Jalisco,Chapala,Ajijic,LA CRISTINA,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
14150037,09/02/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),"LA COOPERATIVA, LA QUEBRDA, COYULA",Captura ilegal,Embarcación Menor,Atendido,LOBINA
14150038,09/02/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),LA COOPERATIVA,Posesión ilegal,Embarcación Menor,Atendido,LOBINA
14150039,10/02/2015,Jalisco,Tuxcueca,San Nicolás de Acuña (San Nicolás),SAN NICOLAS DE ACUÑA,Captura ilegal,Arte de pesca,Atendido,-1
14150040,10/02/2015,Jalisco,Jocotepec,San Juan Cosalá,PLANTA DE TRATAMIENTO PIEDRAS NEGRAS,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150041,10/02/2015,Jalisco,Jocotepec,San Juan Cosalá,PLANTA DE TRATAMIENTO PIEDRAS NEGRAS,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150042,10/02/2015,Jalisco,Jocotepec,San Juan Cosalá,PLANTA DE TRATAMIENTO PIEDRAS NEGRAS,Captura ilegal,Arte de pesca,Atendido,OTRAS
26150043,10/02/2015,Sonora,San Luis Río Colorado,Golfo de Santa Clara,GOLFO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
3150044,12/02/2015,Baja California Sur,Comondú,Puerto San Carlos,COMPLEJO LAGUNAR BAHÍA MAGDALENA,Captura ilegal,Embarcación Mayor,Atendido,CAMARON
14150045,12/02/2015,Jalisco,Degollado,Huáscato,PRESA LA POLVORA,Captura ilegal,Arte de pesca,Atendido,BAGRE
14150046,16/02/2015,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA EL HIUITE,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150047,16/02/2015,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA EL HIUITE,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150048,17/02/2015,Jalisco,Tuxcueca,San Nicolás de Acuña (San Nicolás),SAN NICOLAS DE ACUÑA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150049,18/02/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,PRESAEL SALTO DE VALLE DE GUADALUPE,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150050,18/02/2015,Jalisco,Ameca,Ameca,PRESA TEXCALAME,Captura ilegal,Arte de pesca,Atendido,OTRAS
18150051,18/02/2015,Nayarit,Bahía de Banderas,Sayulita,EN PUNTA MITA FRENTE A LA CASETA DE SEGURIDAD,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150052,23/02/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),LA QUEBRADA LOS DIQUES PRESA CAJON DE PEÑA RESTA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
18150053,25/02/2015,Nayarit,Compostela,Chacala,CHACALA,Captura ilegal,Embarcación Menor,Atendido,GUACHINANGO
14150054,25/02/2015,Jalisco,Teuchitlán,Presa la Vega,PRESA DE LA VEGA,Captura ilegal,Arte de pesca,Atendido,OTRAS
30150055,25/02/2015,Veracruz,Alvarado,Antón Lizardo,ANTON LIZARDO,Captura ilegal,Embarcación Menor,Atendido,TIBURON
24150056,27/02/2015,San Luis Potosí,null,null,PRESA DE MEXQUITIC,Captura ilegal,Otros,Atendido,CARPA
14150057,02/03/2015,Jalisco,Ameca,Ameca,PRESA TEXCALAME,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150058,02/03/2015,Jalisco,Poncitlán,Mezcala,ISLA DE MEZCALA,Captura ilegal,Embarcación Menor,Atendido,CHARAL
12150059,02/03/2015,Guerrero,Técpan de Galeana,Puerto Vicente Guerrero,INSTALACIONES DE LA SCPP COSTA GRANDE DE GUERRERO,Captura ilegal,Embarcación Menor,Atendido,GUACHINANGO
14150060,04/03/2015,Jalisco,Tizapán el Alto,Tizapán el Alto,EJIDO MODELO,Comercialización ilegal,Otros,Atendido,OTRAS
14150061,04/03/2015,Jalisco,Cihuatlán,Barra de Navidad,PEÑA BLANCA PLAYA DE ORO COLIMA,Captura ilegal,Otros,Atendido,PARGO
14150062,05/03/2015,Jalisco,Chapala,Ajijic,LA CRISTINA,Captura ilegal,Arte de pesca,Atendido,CHARAL
18150063,05/03/2015,Nayarit,Compostela,Chacala,PLAYA BOCA DE CHILA,Otros,Embarcación Mayor,Atendido,GUACHINANGO
14150064,06/03/2015,Jalisco,Cihuatlán,Barra de Navidad,PEÑA BLANCA Y LOS FRAILES,Captura ilegal,Arte de pesca,Atendido,PARGO
14150065,10/03/2015,Jalisco,Chapala,Chapala,MONTECARLO,Captura ilegal,Arte de pesca,Atendido,MOJARRA
14150066,10/03/2015,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA ELJIHUITE,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150067,10/03/2015,Jalisco,Chapala,Chapala,LA VELA,Transportación ilegal,Vehiculo,Atendido,MOJARRA
18150068,12/03/2015,Nayarit,Bahía de Banderas,Sayulita,SAYULITA,Captura ilegal,Embarcación Menor,Atendido,GUACHINANGO
14150069,13/03/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,EL TORTUGUERO Y ELTRIGAL,Captura ilegal,Arte de pesca,Atendido,OTRAS
30150070,17/03/2015,Veracruz,Boca del Río,Boca del Río,BULEVARD MANUEL AVILA CAMACHO,Captura ilegal,Embarcación Menor,Atendido,OTRAS
26150071,18/03/2015,Sonora,Guaymas,Heroica Guaymas,CRUZ DE PIEDRA,Posesión ilegal,Embarcación Menor,Sin atender,ALGAS
20150072,19/03/2015,Oaxaca,Santa María Huatulco,Tangolunda,BAHIAS DE HUATULCO,Captura ilegal,Embarcación Menor,Atendido,DORADO
14150073,20/03/2015,Jalisco,Tizapán el Alto,Mismaloya,ENTRE MISMALOYA Y TUXCUECA,Captura ilegal,Otros,Atendido,CHARAL
14150074,23/03/2015,Jalisco,Poncitlán,Mezcala,OJO DE AGUA,Captura ilegal,Arte de pesca,Atendido,MOJARRA
14150075,23/03/2015,Jalisco,Chapala,Ajijic,VILLA LUCERNA,Otros,Arte de pesca,Atendido,CHARAL
14150076,26/03/2015,Jalisco,null,null,PRESA EL JIHUITE,Captura ilegal,Arte de pesca,Atendido,MOJARRA
14150077,26/03/2015,Jalisco,Tizapán el Alto,El Refugio,PRESA,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150078,26/03/2015,Jalisco,Tizapán el Alto,Villa Emiliano Zapata (Ejido Modelo),LAGO CHAPALA,Captura ilegal,Embarcación Menor,Atendido,CHARAL
14150079,31/03/2015,Jalisco,Ameca,Ameca,TEXCALAME,Captura ilegal,Arte de pesca,Atendido,OTRAS
3150080,03/04/2015,Baja California Sur,La Paz,La Paz,XXXX,Otros,Embarcación Menor,Atendido,ABULON
28150081,04/04/2015,Tamaulipas,San Fernando,San Fernando,LAGUNA MADRE,Captura ilegal,Arte de pesca,Atendido,CAMARON
14150082,06/04/2015,Jalisco,Zapotlanejo,Calderón,PRESA DE CALDERON,Captura ilegal,Arte de pesca,Atendido,OTRAS
23150083,06/04/2015,Quintana Roo,Solidaridad,Puerto Aventuras,MARINA,Captura ilegal,Embarcación Mayor,Atendido,CARACOL
14150084,08/04/2015,Jalisco,Cabo Corrientes,Tehuamixtle (Tehualmixtle),CASA DE TURÍN,Captura ilegal,Método de pesca,Atendido,PARGO
23150085,08/04/2015,Quintana Roo,Solidaridad,Puerto Aventuras,MARINA PUERTO AVENTURAS,Captura ilegal,Embarcación Menor,Atendido,CARACOL
23150086,13/04/2015,Quintana Roo,Othón P. Blanco,Noh-bec,LAGUNA NOH BEC,Captura ilegal,Arte de pesca,Atendido,-1
2150087,13/04/2015,Baja California,Ensenada,La Salina,PUERTO SALINA,Captura ilegal,Embarcación Menor,Atendido,-1
3150088,14/04/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA ALMEJAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
4150089,14/04/2015,Campeche,Calkiní,Isla Arena,______,Captura ilegal,Embarcación Menor,Atendido,PEPINO DE MA
3150090,15/04/2015,Baja California Sur,Mulegé,Guerrero Negro,ESTERO SAN JOSÉ,Captura ilegal,Embarcación Menor,Atendido,OTRAS
2150091,16/04/2015,Baja California,Ensenada,Santo Domingo,ESTERO SAN JOSE,Captura ilegal,Embarcación Menor,Atendido,OTRAS
20150092,16/04/2015,Oaxaca,Villa de Tututepec de Melchor Ocampo,El Zapotalito,EL ZAPOTALITO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
3150093,16/04/2015,Baja California Sur,Comondú,Puerto San Carlos,ISLA DE PATOS,Captura ilegal,Embarcación Menor,Atendido,JAIBA
15150094,20/04/2015,México,Valle de Bravo,La Laguna,MATAMOROS TAMAULIPAS,Captura ilegal,Embarcación Menor,Sin atender,CAMARON
14150095,21/04/2015,Jalisco,Tapalpa,La Presa del Nogal,CABAÑAS EL REMANSO,Captura ilegal,Método de pesca,Atendido,LOBINA
20150096,22/04/2015,Oaxaca,San Pedro Pochutla,Puerto Ángel,"ZALCHI, BAHIA LA TIJERA, ESTACAHUITE",Captura ilegal,Embarcación Menor,Atendido,LANGOSTA
2150097,22/04/2015,Baja California,Ensenada,Ensenada,PUERTECITOS BC,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
3150098,27/04/2015,Baja California Sur,Comondú,Puerto Adolfo López Mateos,Q,Comercialización ilegal,Embarcación Mayor,Atendido,ALGAS
3150099,27/04/2015,Baja California Sur,Comondú,Puerto Adolfo López Mateos,Q,Comercialización ilegal,Embarcación Mayor,Atendido,ALGAS
3150100,27/04/2015,Baja California Sur,Comondú,Puerto Adolfo López Mateos,Q,Comercialización ilegal,Embarcación Mayor,Atendido,ALGAS
14150101,28/04/2015,Jalisco,Ameca,Ameca,PRESA TEXCALAME,Captura ilegal,Otros,Atendido,OTRAS
14150102,29/04/2015,Jalisco,Cihuatlán,El Rebalse,EL TAJO,Captura ilegal,Embarcación Menor,Atendido,ROBALO
26150103,30/04/2015,Sonora,Empalme,Empalme,BELLA VISTA,Captura ilegal,Método de pesca,Sin atender,CAMARON
2150104,04/05/2015,Baja California,Ensenada,Ejido Eréndira,EJIDO ERENDIRA,Captura ilegal,Otros,Atendido,OTRAS
25150105,05/05/2015,Sinaloa,Escuinapa,Escuinapa de Hidalgo,AGUA VERDE ROSARIO,Otros,Embarcación Menor,Atendido,JAIBA
23150106,07/05/2015,Quintana Roo,Benito Juárez,Cancún,LA PUNTA DE POCTAPOCK,Captura ilegal,Embarcación Menor,Atendido,ROBALO
23150107,07/05/2015,Quintana Roo,Benito Juárez,Cancún,ESTERO POKTA POK AL FINAL DE AVENIDA.,Captura ilegal,Embarcación Menor,Atendido,ROBALO
14150108,07/05/2015,Jalisco,Ocotlán,Ocotlán,EL FARO DE OCOTLAN,Captura ilegal,Arte de pesca,Atendido,OTRAS
14150109,11/05/2015,Jalisco,Tapalpa,La Presa del Nogal,CABAÑAS EL REMANSO,Captura ilegal,Método de pesca,Atendido,LOBINA
3150110,11/05/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA MAGDALENA,Otros,Embarcación Menor,Atendido,ALMEJA
25150111,12/05/2015,Sinaloa,Angostura,Santa María,BAHÍA SANTA MARIA-LA REFORMA,Captura ilegal,Embarcación Menor,Atendido,CAMARON
14150112,13/05/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,"MERCADO DEL MAR ""PESCADERIA SAN CARLOS""",Comercialización ilegal,Otros,Atendido,OTRAS
3150113,15/05/2015,Baja California Sur,Comondú,Las Barrancas,EL CHICHARRON,Captura ilegal,Método de pesca,Atendido,OTRAS
3150114,17/05/2015,Baja California Sur,Comondú,Puerto Alcatraz,LOMITA AMARILLA Y PUERTO CHALE,Captura ilegal,Embarcación Menor,Atendido,TIBURON
26150115,17/05/2015,Sonora,Guaymas,Heroica Guaymas,TODO SONORA,Otros,Otros,Sin atender,DORADO
18150116,17/05/2015,Nayarit,La Yesca,La Yesca,PRESA LA YESCA,Captura ilegal,Arte de pesca,Sin atender,MOJARRA
2150117,18/05/2015,Baja California,Ensenada,Calamajué,SAN LUIS GONZAGA,Captura ilegal,Embarcación Menor,Sin atender,SIERRA
14150118,19/05/2015,Jalisco,Puerto Vallarta,Puerto Vallarta,ZONA DE PESCA DEL OCEANO PACIFICO.,Otros,Embarcación Menor,Atendido,PULPO
14150119,19/05/2015,Jalisco,Tomatlán,Presa Cajón de Peña (La Presa),LA COOPERATIVA,Captura ilegal,Embarcación Menor,Atendido,LOBINA
2150120,19/05/2015,Baja California,Playas de Rosarito,Primo Tapia,ROSARITO,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
14150121,20/05/2015,Jalisco,Teocuitatlán de Corona,Santa Rosa,PRESA DE SANTA ROSA,Captura ilegal,Otros,Atendido,OTRAS
14150122,22/05/2015,Jalisco,San Martín Hidalgo,San Martín Hidalgo,PRESAS OJO DE AGUA Y RUIZ CORTINEZ,Captura ilegal,Embarcación Menor,Atendido,OTRAS
14150123,22/05/2015,Jalisco,Ameca,El Texcalame,PRESA PUERTA DEL HUAMUCHIL,Captura ilegal,Otros,Atendido,OTRAS
25150124,22/05/2015,Sinaloa,Mazatlán,Los Copales,EL DIAGONAL,Otros,Otros,Atendido,OTRAS
2150125,22/05/2015,Baja California,Ensenada,Ensenada,EJIDO CORONEL CORONEL,Otros,Vehiculo,Atendido,OTRAS
2150126,22/05/2015,Baja California,null,null,SAN FELIPE,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
14150127,25/05/2015,Jalisco,Zapopan,Zapopan,MERCADO DEL MAR,Comercialización ilegal,Otros,Atendido,TIBURON
23150128,25/05/2015,Quintana Roo,Tulum,Akumal Sur,AKUMAL SUR,Captura ilegal,Otros,Atendido,LANGOSTA
2150129,26/05/2015,Baja California,Ensenada,El Tomatal,CAMPOS EL TOMATAL Y PLAYA ESMERALDA,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
4150130,27/05/2015,Campeche,Champotón,Villa Madero,VILLAMADERO,Captura ilegal,Vehiculo,Atendido,PEPINO DE MA
26150131,30/05/2015,Sonora,Puerto Peñasco,Puerto Peñasco,EL DESEMBOQUE,Captura ilegal,Embarcación Menor,Sin atender,CAMARON
3150132,31/05/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA ALMEJAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
23150133,01/06/2015,Quintana Roo,Tulum,Akumal Sur,CASA,Captura ilegal,Método de pesca,Atendido,LANGOSTA
2150134,01/06/2015,Baja California,Ensenada,Bahía de los Ángeles,ENFRENTE DEL MUSEO DE BLA,Captura ilegal,Vehiculo,Atendido,FAUNA
14150135,01/06/2015,Jalisco,null,null,MERCADO DEL MAR,Comercialización ilegal,Otros,Atendido,CAZON
14150136,05/06/2015,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA EL JIHUITE,Captura ilegal,Arte de pesca,Atendido,OTRAS
3150137,05/06/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA MAGDALENA,Captura ilegal,Embarcación Mayor,Atendido,SARDINA
2150138,08/06/2015,Baja California,Playas de Rosarito,Popotla,PUERTO POPOTLA,Captura ilegal,Embarcación Menor,Atendido,ERIZO
14150139,10/06/2015,Jalisco,Ameca,El Texcalame,PRESA TEXCALAME,Captura ilegal,Arte de pesca,Atendido,OTRAS
31150140,10/06/2015,Yucatán,Celestún,Celestún,PUERTO DE ABRIGO POR CALLE 4.,Captura ilegal,Método de pesca,Atendido,PULPO
11150141,12/06/2015,Guanajuato,Tarandacuao,San José de Porto (San José de Hidalgo),"DENTRO DE LA PRESA SOLÍS, FRENTE A LA COMUNIDAD",Captura ilegal,Embarcación Menor,Atendido,MOJARRA
11150142,12/06/2015,Guanajuato,Yuriria,La Angostura,LAGUNA DE YURIRIA,Captura ilegal,Método de pesca,Atendido,MOJARRA
3150143,13/06/2015,Baja California Sur,Comondú,Puerto San Carlos,PUERTO CHALE,Posesión ilegal,Embarcación Menor,Atendido,CAMARON
25150144,16/06/2015,Sinaloa,Rosario,El Rosario,CHAMETLA,Otros,Embarcación Menor,Atendido,OTRAS
14150145,17/06/2015,Jalisco,Valle de Guadalupe,Valle de Guadalupe,PRESA EL SALTO,Captura ilegal,Otros,Atendido,OTRAS
14150146,18/06/2015,Jalisco,Puerto Vallarta,Puerto Vallarta,BOCA DE TOMATES RIO AMECA,Captura ilegal,Embarcación Menor,Atendido,ROBALO
14150147,19/06/2015,Jalisco,Casimiro Castillo,Lo Arado,RIO PURIFICACION,Otros,Vehiculo,Atendido,LANGOSTINO
3150148,19/06/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA ALMEJAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
23150149,22/06/2015,Quintana Roo,Isla Mujeres,Isla Mujeres,PATRIA YPROGRESO,Comercialización ilegal,Embarcación Menor,Atendido,LANGOSTA
23150150,22/06/2015,Quintana Roo,Isla Mujeres,Isla Mujeres,PATRIA YPROGRESO,Comercialización ilegal,Embarcación Menor,Atendido,LANGOSTA
18150151,22/06/2015,Nayarit,Santiago Ixcuintla,Mexcaltitán de Uribe,MEXCALTITAN DE URIBE,Captura ilegal,Embarcación Menor,Sin atender,CAMARON
11150152,23/06/2015,Guanajuato,Acámbaro,La Ortiga,LA ORTIGA,Captura ilegal,Embarcación Menor,Sin atender,MOJARRA
14150153,23/06/2015,Jalisco,Puerto Vallarta,Boca de Tomates,800 METROS RÍO ARRIBA DE LA DESEMBOCADURA,Captura ilegal,Método de pesca,Atendido,ROBALO
4150154,24/06/2015,Campeche,Carmen,Ciudad del Carmen,COLONIA EL LIMONAR EN CD. DEL CARMEN,Captura ilegal,Embarcación Menor,Atendido,CAMARON
4150155,24/06/2015,Campeche,Carmen,Ciudad del Carmen,COLONIA EL LIMONAR EN CD. DEL CARMEN,Captura ilegal,Embarcación Menor,Atendido,CAMARON
14150156,25/06/2015,Jalisco,Tomatlán,La Cruz de Loreto,ESTERO AGUA DULCE,Captura ilegal,Arte de pesca,Atendido,CAMARON
14150157,26/06/2015,Jalisco,Teuchitlán,Presa la Vega,ORILLA PRESA DE LA PRESA DE LA VEGA,Captura ilegal,Otros,Atendido,OTRAS
14150158,29/06/2015,Jalisco,Ameca,Ameca,PRESA TEXCALAME,Posesión ilegal,Arte de pesca,Atendido,OTRAS
14150159,29/06/2015,Jalisco,Ameca,Ameca,PRESA TEXCALAME,Posesión ilegal,Arte de pesca,Atendido,OTRAS
14150160,29/06/2015,Jalisco,Cabo Corrientes,Las Ánimas de Quimixto,LAS ANIMAS,Captura ilegal,Arte de pesca,Atendido,OSTION
3150161,29/06/2015,Baja California Sur,Comondú,Puerto San Carlos,BAHIA ALMEJAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
14150162,30/06/2015,Jalisco,Cabo Corrientes,Tehuamixtle (Tehualmixtle),LA GALLETA,Captura ilegal,Embarcación Menor,Atendido,RAYA Y SIMIL
14150163,30/06/2015,Jalisco,Tuxcueca,San Luis Soyatlán,AL ORIENTE DE SAN NICOLAS DE ACUÑA,Captura ilegal,Otros,Atendido,OTRAS
14150164,01/07/2015,Jalisco,Lagos de Moreno,La Sauceda (Pedro Moreno),LA SAUCEDA,Captura ilegal,Arte de pesca,Atendido,MOJARRA
14150165,02/07/2015,Jalisco,Puerto Vallarta,Puerto Vallarta,COSTA DE VALLARTA,Otros,Otros,Atendido,OSTION
14150166,03/07/2015,Jalisco,Puerto Vallarta,Puerto Vallarta,HOTEL VELAS Y MARRIOT,Captura ilegal,Arte de pesca,Atendido,OSTION
11150167,03/07/2015,Guanajuato,Jerécuaro,Zatemaye,RIVERA DE LA PRESA SOLIS,Otros,Método de pesca,Atendido,MOJARRA
11150168,03/07/2015,Guanajuato,Tarandacuao,San José de Porto (San José de Hidalgo),RIBERA DE LA PRESA SOLIS,Captura ilegal,Arte de pesca,Sin atender,CARPA
18150169,03/07/2015,Nayarit,Compostela,La Peñita de Jaltemba,PLAYAS DE LA PEÑITA DE JALTEMBA,Captura ilegal,Arte de pesca,Atendido,GUACHINANGO
11150170,03/07/2015,Guanajuato,Tarandacuao,La Mora,"PRESA SOLIS, FRENTE A COMUNIDAD SAN JOSE DE HGO",Captura ilegal,Arte de pesca,Atendido,MOJARRA
25150171,05/07/2015,Sinaloa,Mazatlán,Mármol de Salcido (Mármol),ESTERO EL TASAJAL,Captura ilegal,Método de pesca,Atendido,OSTION
3150172,06/07/2015,Baja California Sur,La Paz,La Paz,LA PAZ,Comercialización ilegal,Vehiculo,Atendido,TIBURON
14150173,06/07/2015,Jalisco,Teuchitlán,Presa la Vega,POR EL LADO DEL TAJO Y ALREDEDOR D PRESA,Captura ilegal,Otros,Atendido,OTRAS
14150174,06/07/2015,Jalisco,Chapala,El Bajío,LA CANACINTA,Captura ilegal,Embarcación Menor,Atendido,MOJARRA
12150175,07/07/2015,Guerrero,Zihuatanejo de Azueta,Zihuatanejo,PLAYA LAS GATAS Y PLAYA LA ROPA,Otros,Vehiculo,Atendido,OSTION
6150176,07/07/2015,Colima,Armería,El Paraíso (Balneario),EL PARAÍSO,Captura ilegal,Arte de pesca,Atendido,ROBALO
11150177,08/07/2015,Guanajuato,San Luis de la Paz,El Realito (Mineral el Realito),PRESA EL REALITO,Captura ilegal,Embarcación Menor,Sin atender,MOJARRA
26150178,08/07/2015,Sonora,Hermosillo,Tastiota,TASTIOTA MUNICIPIO DE HERMOSILLO,Captura ilegal,Arte de pesca,Atendido,CAMARON
26150179,11/07/2015,Sonora,San Ignacio Río Muerto,San Ignacio Río Muerto,BAHÍA DE LOBOS,Comercialización ilegal,Vehiculo,Atendido,OTRAS
14150180,14/07/2015,Jalisco,Tepatitlán de Morelos,Tepatitlán de Morelos,PRESA LA RED,Otros,Método de pesca,Atendido,OTRAS
2150181,16/07/2015,Baja California,Ensenada,Ejido Villa Jesús María,LAGUNA MANUELA,Captura ilegal,Otros,Atendido,LANGOSTA
