Folio_denuncia,Fecha_captura,Estado,Municipio,Localidad,Lugar_conocido,Tipo_denuncia,Instrumento_utilizado,Estatus,Especie
25140135,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Captura ilegal,Vehiculo,Atendido,-1
25140136,21/07/2014,Sinaloa,Mazatlán,Mazatlán,PRESA PICACHOS,Transportación ilegal,Vehiculo,Atendido,-1
25140137,21/07/2014,Sinaloa,Mazatlán,Mazatlán,EN LA PRESA PICACHOS,Captura ilegal,Vehiculo,Atendido,-1
2140138,29/07/2014,Baja California,Mexicali,San Felipe,"SN FELIPE, PUERTECITOS Y LUIS GONZAGA",Captura ilegal,Embarcación Menor,Atendido,OTRAS
18140139,30/07/2014,Nayarit,Tepic,La Hacienda,REGION DEE LAS HACIENDAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
26140140,30/07/2014,Sonora,Benito Juárez,Paredón Colorado (Paredón Viejo),PAREDON COLORADO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
26140141,30/07/2014,Sonora,Benito Juárez,Paredón Colorado (Paredón Viejo),PAREDON COLORADO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
25140142,30/07/2014,Sinaloa,Escuinapa,Ojo de Agua de Palmillas,EMBARCADERO DE LOS LIBRES DE PALMILLAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
2140143,31/07/2014,Baja California,Mexicali,San Felipe,SAN FELIPE,Captura ilegal,Embarcación Menor,Atendido,ALMEJA
25140144,01/08/2014,Sinaloa,Guasave,Boca del Río,LA BOCA DEL RIO,Captura ilegal,Embarcación Menor,Atendido,CAMARON
26140145,04/08/2014,Sonora,Guaymas,Heroica Guaymas,ENSENADA GRANDE,Captura ilegal,Embarcación Menor,Atendido,DORADO
25140146,04/08/2014,Sinaloa,Rosario,Las Garzas,LA TARQUINA,Captura ilegal,Arte de pesca,Atendido,CAMARON
26140147,04/08/2014,Sonora,Huatabampo,Las Bocas,LAS BOCAS,Captura ilegal,Embarcación Menor,Atendido,CAMARON
18140148,05/08/2014,Nayarit,San Blas,Guadalupe Victoria (La Virocha),"ESTERO LAGUNA NARANJO, LAS CHANGAS Y PAPAYITOS.",Captura ilegal,Embarcación Menor,Atendido,CAMARON
3140149,06/08/2014,Baja California Sur,Los Cabos,San José del Cabo,BAHIA SANTA MARÍA,Captura ilegal,Embarcación Mayor,Atendido,-1
