Año,Estado,Especie,Cantidad
2013,CHIAPAS,ABULON,0
2013,CHIHUAHUA,ABULON,0
2013,COAHUILA,ABULON,0
2013,COLIMA,ABULON,0
2013,DF,ABULON,0
2013,DURANGO,ABULON,0
2013,ESTADO DE MEXICO,ABULON,0
2013,GUANAJUATO,ABULON,0
2013,GUERRERO,ABULON,0
2013,HIDALGO,ABULON,0
2013,JALISCO,ABULON,0
2013,MICHOACAN,ABULON,0
2013,MORELOS,ABULON,0
2013,NAYARIT,ABULON,0
2013,NUEVO LEON,ABULON,0
2013,OAXACA,ABULON,0
2013,PUEBLA,ABULON,0
2013,QUERETARO,ABULON,0
2013,QUINTANA ROO,ABULON,0
2013,SAN LUIS POTOSI,ABULON,0
2013,SINALOA,ABULON,0
2013,SONORA,ABULON,0
2013,TABASCO,ABULON,0
2013,TAMAUUPAS,ABULON,0
2013,TLAXCALA,ABULON,0
2013,VERACRUZ,ABULON,0
2013,YUCATAN,ABULON,0
2013,ZACATECAS,ABULON,0
2012,VERACRUZ,ABULON,1
2009,AGUASCAUENTES,ABULON,2
2009,BAJA CALIFORNIA,ABULON,4
2011,VERACRUZ,ABULON,4.5
2012,ESTADO DE MEXICO,ABULON,14
2011,BAJA CALIFORNIA SUR,ABULON,20
2011,DF,ABULON,42.5
2010,BAJA CALIFORNIA,ABULON,81
2012,BAJA CALIFORNIA,ABULON,434.18
2011,BAJA CALIFORNIA,ABULON,874
2013,BAJA CALIFORNIA,ABULON,6323.22
2009,AGUASCAUENTES,AGUA MALA- BOLA DE CANON,0
2009,BAJA CALIFORNIA,AGUA MALA- BOLA DE CANON,0
2009,BAJA CALIFORNIA SUR,AGUA MALA- BOLA DE CANON,0
2009,CAMPECHE,AGUA MALA- BOLA DE CANON,0
2009,CHIAPAS,AGUA MALA- BOLA DE CANON,0
2009,CHIHUAHUA,AGUA MALA- BOLA DE CANON,0
2009,COAHUILA,AGUA MALA- BOLA DE CANON,0
2009,COLIMA,AGUA MALA- BOLA DE CANON,0
2009,DF,AGUA MALA- BOLA DE CANON,0
2009,DURANGO,AGUA MALA- BOLA DE CANON,0
2009,ESTADO DE MEXICO,AGUA MALA- BOLA DE CANON,0
2009,GUANAJUATO,AGUA MALA- BOLA DE CANON,0
2009,GUERRERO,AGUA MALA- BOLA DE CANON,0
2009,HIDALGO,AGUA MALA- BOLA DE CANON,0
2009,JALISCO,AGUA MALA- BOLA DE CANON,0
2009,MICHOACAN,AGUA MALA- BOLA DE CANON,0
2009,MORELOS,AGUA MALA- BOLA DE CANON,0
2009,NAYARIT,AGUA MALA- BOLA DE CANON,0
2009,NUEVO LEON,AGUA MALA- BOLA DE CANON,0
2009,OAXACA,AGUA MALA- BOLA DE CANON,0
2009,PUEBLA,AGUA MALA- BOLA DE CANON,0
2009,QUERETARO,AGUA MALA- BOLA DE CANON,0
2009,QUINTANA ROO,AGUA MALA- BOLA DE CANON,0
2009,SAN LUIS POTOSI,AGUA MALA- BOLA DE CANON,0
2009,TABASCO,AGUA MALA- BOLA DE CANON,0
2009,TAMAUUPAS,AGUA MALA- BOLA DE CANON,0
2009,TLAXCALA,AGUA MALA- BOLA DE CANON,0
2009,VERACRUZ,AGUA MALA- BOLA DE CANON,0
2009,YUCATAN,AGUA MALA- BOLA DE CANON,0
2009,ZACATECAS,AGUA MALA- BOLA DE CANON,0
2010,AGUASCALENTES,AGUA MALA- BOLA DE CANON,0
2010,BAJA CALIFORNIA SUR,AGUA MALA- BOLA DE CANON,0
2010,CAMPECHE,AGUA MALA- BOLA DE CANON,0
2010,CHIAPAS,AGUA MALA- BOLA DE CANON,0
2010,CHIHUAHUA,AGUA MALA- BOLA DE CANON,0
2010,COAHUILA,AGUA MALA- BOLA DE CANON,0
2010,COLIMA,AGUA MALA- BOLA DE CANON,0
2010,DF,AGUA MALA- BOLA DE CANON,0
2010,DURANGO,AGUA MALA- BOLA DE CANON,0
2010,ESTADO DE MEXICO,AGUA MALA- BOLA DE CANON,0
2010,GUANAJUATO,AGUA MALA- BOLA DE CANON,0
2010,GUERRERO,AGUA MALA- BOLA DE CANON,0
2010,HIDALGO,AGUA MALA- BOLA DE CANON,0
2010,JALISCO,AGUA MALA- BOLA DE CANON,0
2010,MICHOACAN,AGUA MALA- BOLA DE CANON,0
2010,MORELOS,AGUA MALA- BOLA DE CANON,0
2010,NAYARIT,AGUA MALA- BOLA DE CANON,0
2010,NUEVO LEON,AGUA MALA- BOLA DE CANON,0
2010,OAXACA,AGUA MALA- BOLA DE CANON,0
2010,PUEBLA,AGUA MALA- BOLA DE CANON,0
2010,QUERETARO,AGUA MALA- BOLA DE CANON,0
2010,QUINTANA ROO,AGUA MALA- BOLA DE CANON,0
2010,SAN LUIS POTOSI,AGUA MALA- BOLA DE CANON,0
2010,SINALOA,AGUA MALA- BOLA DE CANON,0
2010,TABASCO,AGUA MALA- BOLA DE CANON,0
2010,TAMAUUPAS,AGUA MALA- BOLA DE CANON,0
2010,TLAXCALA,AGUA MALA- BOLA DE CANON,0
2010,VERACRUZ,AGUA MALA- BOLA DE CANON,0
2010,YUCATAN,AGUA MALA- BOLA DE CANON,0
2010,ZACATECAS,AGUA MALA- BOLA DE CANON,0
2011,AGUASCALENTES,AGUA MALA- BOLA DE CANON,0
2011,BAJA CALIFORNIA,AGUA MALA- BOLA DE CANON,0
2011,BAJA CALIFORNIA SUR,AGUA MALA- BOLA DE CANON,0
2011,CAMPECHE,AGUA MALA- BOLA DE CANON,0
2011,CHIAPAS,AGUA MALA- BOLA DE CANON,0
2011,CHIHUAHUA,AGUA MALA- BOLA DE CANON,0
2011,COAHUILA,AGUA MALA- BOLA DE CANON,0
2011,COLIMA,AGUA MALA- BOLA DE CANON,0
2011,DF,AGUA MALA- BOLA DE CANON,0
2011,DURANGO,AGUA MALA- BOLA DE CANON,0
2011,ESTADO DE MEXICO,AGUA MALA- BOLA DE CANON,0
2011,GUANAJUATO,AGUA MALA- BOLA DE CANON,0
2011,GUERRERO,AGUA MALA- BOLA DE CANON,0
2011,HIDALGO,AGUA MALA- BOLA DE CANON,0
2011,JALISCO,AGUA MALA- BOLA DE CANON,0
2011,MICHOACAN,AGUA MALA- BOLA DE CANON,0
2011,MORELOS,AGUA MALA- BOLA DE CANON,0
2011,NAYARIT,AGUA MALA- BOLA DE CANON,0
2011,NUEVO LEON,AGUA MALA- BOLA DE CANON,0
2011,OAXACA,AGUA MALA- BOLA DE CANON,0
2011,PUEBLA,AGUA MALA- BOLA DE CANON,0
2011,QUERETARO,AGUA MALA- BOLA DE CANON,0
2011,QUINTANA ROO,AGUA MALA- BOLA DE CANON,0
2011,SAN LUIS POTOSI,AGUA MALA- BOLA DE CANON,0
2011,TABASCO,AGUA MALA- BOLA DE CANON,0
2011,TAMAUUPAS,AGUA MALA- BOLA DE CANON,0
2011,TLAXCALA,AGUA MALA- BOLA DE CANON,0
2011,VERACRUZ,AGUA MALA- BOLA DE CANON,0
2011,YUCATAN,AGUA MALA- BOLA DE CANON,0
2011,ZACATECAS,AGUA MALA- BOLA DE CANON,0
2012,AGUASCALENTES,AGUA MALA- BOLA DE CANON,0
2012,BAJA CALIFORNIA SUR,AGUA MALA- BOLA DE CANON,0
2012,CAMPECHE,AGUA MALA- BOLA DE CANON,0
2012,CHIAPAS,AGUA MALA- BOLA DE CANON,0
2012,CHIHUAHUA,AGUA MALA- BOLA DE CANON,0
2012,COAHUILA,AGUA MALA- BOLA DE CANON,0
2012,COLIMA,AGUA MALA- BOLA DE CANON,0
2012,DF,AGUA MALA- BOLA DE CANON,0
2012,DURANGO,AGUA MALA- BOLA DE CANON,0
2012,ESTADO DE MEXICO,AGUA MALA- BOLA DE CANON,0
2012,GUANAJUATO,AGUA MALA- BOLA DE CANON,0
2012,GUERRERO,AGUA MALA- BOLA DE CANON,0
2012,HIDALGO,AGUA MALA- BOLA DE CANON,0
2012,JALISCO,AGUA MALA- BOLA DE CANON,0
2012,MICHOACAN,AGUA MALA- BOLA DE CANON,0
2012,MORELOS,AGUA MALA- BOLA DE CANON,0
2012,NAYARIT,AGUA MALA- BOLA DE CANON,0
2012,NUEVO LEON,AGUA MALA- BOLA DE CANON,0
2012,OAXACA,AGUA MALA- BOLA DE CANON,0
2012,PUEBLA,AGUA MALA- BOLA DE CANON,0
2012,QUERETARO,AGUA MALA- BOLA DE CANON,0
2012,QUINTANA ROO,AGUA MALA- BOLA DE CANON,0
2012,SAN LUIS POTOSI,AGUA MALA- BOLA DE CANON,0
2012,SINALOA,AGUA MALA- BOLA DE CANON,0
2012,TABASCO,AGUA MALA- BOLA DE CANON,0
2012,TAMAUUPAS,AGUA MALA- BOLA DE CANON,0
2012,TLAXCALA,AGUA MALA- BOLA DE CANON,0
2012,VERACRUZ,AGUA MALA- BOLA DE CANON,0
2012,YUCATAN,AGUA MALA- BOLA DE CANON,0
2012,ZACATECAS,AGUA MALA- BOLA DE CANON,0
2013,AGUASCALENTES,AGUA MALA- BOLA DE CANON,0
2013,BAJA CALIFORNIA SUR,AGUA MALA- BOLA DE CANON,0
2013,CAMPECHE,AGUA MALA- BOLA DE CANON,0
2013,CHIAPAS,AGUA MALA- BOLA DE CANON,0
2013,CHIHUAHUA,AGUA MALA- BOLA DE CANON,0
2013,COAHUILA,AGUA MALA- BOLA DE CANON,0
2013,COLIMA,AGUA MALA- BOLA DE CANON,0
2013,DF,AGUA MALA- BOLA DE CANON,0
2013,DURANGO,AGUA MALA- BOLA DE CANON,0
2013,ESTADO DE MEXICO,AGUA MALA- BOLA DE CANON,0
2013,GUANAJUATO,AGUA MALA- BOLA DE CANON,0
2013,GUERRERO,AGUA MALA- BOLA DE CANON,0
2013,HIDALGO,AGUA MALA- BOLA DE CANON,0
2013,JALISCO,AGUA MALA- BOLA DE CANON,0
2013,MICHOACAN,AGUA MALA- BOLA DE CANON,0
2013,MORELOS,AGUA MALA- BOLA DE CANON,0
2013,NAYARIT,AGUA MALA- BOLA DE CANON,0
2013,NUEVO LEON,AGUA MALA- BOLA DE CANON,0
2013,OAXACA,AGUA MALA- BOLA DE CANON,0
2013,PUEBLA,AGUA MALA- BOLA DE CANON,0
2013,QUERETARO,AGUA MALA- BOLA DE CANON,0
2013,QUINTANA ROO,AGUA MALA- BOLA DE CANON,0
2013,SAN LUIS POTOSI,AGUA MALA- BOLA DE CANON,0
2013,TABASCO,AGUA MALA- BOLA DE CANON,0
2013,TAMAUUPAS,AGUA MALA- BOLA DE CANON,0
2013,TLAXCALA,AGUA MALA- BOLA DE CANON,0
2013,VERACRUZ,AGUA MALA- BOLA DE CANON,0
2013,YUCATAN,AGUA MALA- BOLA DE CANON,0
2013,ZACATECAS,AGUA MALA- BOLA DE CANON,0
2013,BAJA CALIFORNIA,AGUA MALA- BOLA DE CANON,3171
2011,SINALOA,AGUA MALA- BOLA DE CANON,15830
2010,BAJA CALIFORNIA,AGUA MALA- BOLA DE CANON,66180
2013,SINALOA,AGUA MALA- BOLA DE CANON,102000
2013,SONORA,AGUA MALA- BOLA DE CANON,109035
2009,SINALOA,AGUA MALA- BOLA DE CANON,140400
2010,SONORA,AGUA MALA- BOLA DE CANON,158336
2012,BAJA CALIFORNIA,AGUA MALA- BOLA DE CANON,177295
2011,SONORA,AGUA MALA- BOLA DE CANON,418067
2012,SONORA,AGUA MALA- BOLA DE CANON,1009910
2009,SONORA,AGUA MALA- BOLA DE CANON,1073636
2009,CAMPECHE,ALMEJA,0
2009,CHIAPAS,ALMEJA,0
2009,COAHUILA,ALMEJA,0
2009,DURANGO,ALMEJA,0
2009,MORELOS,ALMEJA,0
2009,NAYARIT,ALMEJA,0
2009,NUEVO LEON,ALMEJA,0
2009,OAXACA,ALMEJA,0
2009,QUINTANA ROO,ALMEJA,0
2009,SONORA,ALMEJA,0
2010,CAMPECHE,ALMEJA,0
2010,CHIAPAS,ALMEJA,0
2010,COAHUILA,ALMEJA,0
2010,DURANGO,ALMEJA,0
2010,GUANAJUATO,ALMEJA,0
2010,HIDALGO,ALMEJA,0
2010,MORELOS,ALMEJA,0
2010,NAYARIT,ALMEJA,0
2010,OAXACA,ALMEJA,0
2010,QUINTANA ROO,ALMEJA,0
2010,TABASCO,ALMEJA,0
2010,TAMAUUPAS,ALMEJA,0
2010,ZACATECAS,ALMEJA,0
2011,CAMPECHE,ALMEJA,0
2011,CHIAPAS,ALMEJA,0
2011,COAHUILA,ALMEJA,0
2011,COLIMA,ALMEJA,0
2011,DURANGO,ALMEJA,0
2011,GUANAJUATO,ALMEJA,0
2011,GUERRERO,ALMEJA,0
2011,HIDALGO,ALMEJA,0
2011,MORELOS,ALMEJA,0
2011,NAYARIT,ALMEJA,0
2011,NUEVO LEON,ALMEJA,0
2011,OAXACA,ALMEJA,0
2011,QUERETARO,ALMEJA,0
2011,QUINTANA ROO,ALMEJA,0
2011,YUCATAN,ALMEJA,0
2011,ZACATECAS,ALMEJA,0
2012,CAMPECHE,ALMEJA,0
2012,CHIAPAS,ALMEJA,0
2012,COLIMA,ALMEJA,0
2012,DURANGO,ALMEJA,0
2012,GUANAJUATO,ALMEJA,0
2012,GUERRERO,ALMEJA,0
2012,HIDALGO,ALMEJA,0
2012,MORELOS,ALMEJA,0
2012,NAYARIT,ALMEJA,0
2012,NUEVO LEON,ALMEJA,0
2012,OAXACA,ALMEJA,0
2012,TABASCO,ALMEJA,0
2012,TAMAUUPAS,ALMEJA,0
2012,YUCATAN,ALMEJA,0
2013,CAMPECHE,ALMEJA,0
2013,CHIAPAS,ALMEJA,0
2013,COLIMA,ALMEJA,0
2013,DF,ALMEJA,0
2013,DURANGO,ALMEJA,0
2013,GUERRERO,ALMEJA,0
2013,HIDALGO,ALMEJA,0
2013,MORELOS,ALMEJA,0
2013,NUEVO LEON,ALMEJA,0
2013,QUERETARO,ALMEJA,0
2013,QUINTANA ROO,ALMEJA,0
2013,SAN LUIS POTOSI,ALMEJA,0
2013,SINALOA,ALMEJA,0
2013,SONORA,ALMEJA,0
2013,TABASCO,ALMEJA,0
2013,YUCATAN,ALMEJA,0
2013,ZACATECAS,ALMEJA,0.28
2013,COAHUILA,ALMEJA,1
2013,TAMAUUPAS,ALMEJA,2
2012,SAN LUIS POTOSI,ALMEJA,3
2011,TABASCO,ALMEJA,5
2012,CHIHUAHUA,ALMEJA,5
2013,GUANAJUATO,ALMEJA,5
2009,AGUASCAUENTES,ALMEJA,9
2009,TABASCO,ALMEJA,10
2009,YUCATAN,ALMEJA,13
2012,ZACATECAS,ALMEJA,20
2010,SAN LUIS POTOSI,ALMEJA,28
2009,TAMAUUPAS,ALMEJA,30
2010,GUERRERO,ALMEJA,30
2013,NAYARIT,ALMEJA,33
2009,HIDALGO,ALMEJA,44
2010,NUEVO LEON,ALMEJA,45
2009,SAN LUIS POTOSI,ALMEJA,60
2011,CHIHUAHUA,ALMEJA,60
2009,GUERRERO,ALMEJA,63
2011,SAN LUIS POTOSI,ALMEJA,64
2013,TLAXCALA,ALMEJA,66
2010,QUERETARO,ALMEJA,70
2010,DF,ALMEJA,72
2012,ESTADO DE MEXICO,ALMEJA,80
2011,AGUASCALENTES,ALMEJA,85.6
2010,COLIMA,ALMEJA,89.1
2009,ESTADO DE MEXICO,ALMEJA,99
2013,VERACRUZ,ALMEJA,100
2011,ESTADO DE MEXICO,ALMEJA,111
2012,TLAXCALA,ALMEJA,111
2010,TLAXCALA,ALMEJA,119
2010,YUCATAN,ALMEJA,119
2013,ESTADO DE MEXICO,ALMEJA,132
2009,MICHOACAN,ALMEJA,136
2012,QUERETARO,ALMEJA,146
2011,TLAXCALA,ALMEJA,150
2010,ESTADO DE MEXICO,ALMEJA,171
2010,VERACRUZ,ALMEJA,176
2012,QUINTANA ROO,ALMEJA,176
2011,DF,ALMEJA,192
2009,TLAXCALA,ALMEJA,197.5
2010,SINALOA,ALMEJA,204
2010,SONORA,ALMEJA,216
2013,OAXACA,ALMEJA,220
2009,CHIHUAHUA,ALMEJA,240
2009,QUERETARO,ALMEJA,312
2012,VERACRUZ,ALMEJA,343
2012,SINALOA,ALMEJA,400
2013,CHIHUAHUA,ALMEJA,454
2011,TAMAUUPAS,ALMEJA,483
2009,COLIMA,ALMEJA,494.5
2012,MICHOACAN,ALMEJA,501
2009,ZACATECAS,ALMEJA,551
2009,SINALOA,ALMEJA,801
2009,GUANAJUATO,ALMEJA,836
2011,VERACRUZ,ALMEJA,852.2
2012,PUEBLA,ALMEJA,882
2013,AGUASCALENTES,ALMEJA,926
2009,VERACRUZ,ALMEJA,1020
2011,MICHOACAN,ALMEJA,1047
2012,COAHUILA,ALMEJA,1190.62
2013,PUEBLA,ALMEJA,1219
2013,BAJA CALIFORNIA,ALMEJA,1300
2011,JALISCO,ALMEJA,1364.05
2012,DF,ALMEJA,1386.8
2010,CHIHUAHUA,ALMEJA,1695
2010,AGUASCALENTES,ALMEJA,1848
2010,PUEBLA,ALMEJA,1973
2011,PUEBLA,ALMEJA,2285
2009,JALISCO,ALMEJA,2442
2013,JALISCO,ALMEJA,2822
2012,JALISCO,ALMEJA,3131
2009,DF,ALMEJA,3557.4
2012,AGUASCALENTES,ALMEJA,3636
2013,MICHOACAN,ALMEJA,3930
2010,JALISCO,ALMEJA,4963
2011,BAJA CALIFORNIA SUR,ALMEJA,6409
2011,SINALOA,ALMEJA,8480
2010,MICHOACAN,ALMEJA,9696
2009,BAJA CALIFORNIA SUR,ALMEJA,11158.8
2011,BAJA CALIFORNIA,ALMEJA,12714.5
2012,BAJA CALIFORNIA,ALMEJA,15611
2009,PUEBLA,ALMEJA,17546
2011,SONORA,ALMEJA,23232
2009,BAJA CALIFORNIA,ALMEJA,23698
2010,BAJA CALIFORNIA SUR,ALMEJA,26236
2013,BAJA CALIFORNIA SUR,ALMEJA,29065
2012,BAJA CALIFORNIA SUR,ALMEJA,42790
2010,BAJA CALIFORNIA,ALMEJA,143485
2012,SONORA,ALMEJA,717437
2013,BAJA CALIFORNIA,ALMEJA CATARINA,0
2013,CAMPECHE,ALMEJA CATARINA,0
2013,CHIAPAS,ALMEJA CATARINA,0
2013,CHIHUAHUA,ALMEJA CATARINA,0
2013,COAHUILA,ALMEJA CATARINA,0
2013,DF,ALMEJA CATARINA,0
2013,DURANGO,ALMEJA CATARINA,0
2013,ESTADO DE MEXICO,ALMEJA CATARINA,0
2013,GUANAJUATO,ALMEJA CATARINA,0
2013,GUERRERO,ALMEJA CATARINA,0
2013,HIDALGO,ALMEJA CATARINA,0
2013,JALISCO,ALMEJA CATARINA,0
2013,MORELOS,ALMEJA CATARINA,0
2013,NAYARIT,ALMEJA CATARINA,0
2013,NUEVO LEON,ALMEJA CATARINA,0
2013,OAXACA,ALMEJA CATARINA,0
2013,QUERETARO,ALMEJA CATARINA,0
2013,QUINTANA ROO,ALMEJA CATARINA,0
2013,SAN LUIS POTOSI,ALMEJA CATARINA,0
2013,SINALOA,ALMEJA CATARINA,0
2013,SONORA,ALMEJA CATARINA,0
2013,TABASCO,ALMEJA CATARINA,0
2013,TAMAUUPAS,ALMEJA CATARINA,0
2013,TLAXCALA,ALMEJA CATARINA,0
2013,VERACRUZ,ALMEJA CATARINA,0
2013,YUCATAN,ALMEJA CATARINA,0
2013,ZACATECAS,ALMEJA CATARINA,0
2013,MICHOACAN,ALMEJA CATARINA,2
2013,AGUASCALENTES,ALMEJA CATARINA,22
2013,PUEBLA,ALMEJA CATARINA,27
2013,COLIMA,ALMEJA CATARINA,30
2013,BAJA CALIFORNIA SUR,ALMEJA CATARINA,1477.9
2013,BAJA CALIFORNIA,ALMEJA CHOCOLATA,0
2013,CAMPECHE,ALMEJA CHOCOLATA,0
2013,CHIAPAS,ALMEJA CHOCOLATA,0
2013,CHIHUAHUA,ALMEJA CHOCOLATA,0
2013,COAHUILA,ALMEJA CHOCOLATA,0
2013,DF,ALMEJA CHOCOLATA,0
2013,DURANGO,ALMEJA CHOCOLATA,0
2013,ESTADO DE MEXICO,ALMEJA CHOCOLATA,0
2013,GUERRERO,ALMEJA CHOCOLATA,0
2013,HIDALGO,ALMEJA CHOCOLATA,0
2013,MORELOS,ALMEJA CHOCOLATA,0
2013,NAYARIT,ALMEJA CHOCOLATA,0
2013,NUEVO LEON,ALMEJA CHOCOLATA,0
2013,OAXACA,ALMEJA CHOCOLATA,0
2013,QUERETARO,ALMEJA CHOCOLATA,0
2013,QUINTANA ROO,ALMEJA CHOCOLATA,0
2013,SAN LUIS POTOSI,ALMEJA CHOCOLATA,0
2013,SINALOA,ALMEJA CHOCOLATA,0
2013,TABASCO,ALMEJA CHOCOLATA,0
2013,TAMAUUPAS,ALMEJA CHOCOLATA,0
2013,TLAXCALA,ALMEJA CHOCOLATA,0
2013,VERACRUZ,ALMEJA CHOCOLATA,0
2013,YUCATAN,ALMEJA CHOCOLATA,0
2013,ZACATECAS,ALMEJA CHOCOLATA,0
2013,GUANAJUATO,ALMEJA CHOCOLATA,2
2013,MICHOACAN,ALMEJA CHOCOLATA,23
2013,COLIMA,ALMEJA CHOCOLATA,37
2013,AGUASCALENTES,ALMEJA CHOCOLATA,42
2013,SONORA,ALMEJA CHOCOLATA,300
2013,JALISCO,ALMEJA CHOCOLATA,920
2013,PUEBLA,ALMEJA CHOCOLATA,1316
2013,BAJA CALIFORNIA SUR,ALMEJA CHOCOLATA,1827.9
2013,AGUASCALENTES,ALMEJA GENEROSA,0
2013,BAJA CALIFORNIA SUR,ALMEJA GENEROSA,0
2013,CAMPECHE,ALMEJA GENEROSA,0
2013,CHIAPAS,ALMEJA GENEROSA,0
2013,CHIHUAHUA,ALMEJA GENEROSA,0
2013,COAHUILA,ALMEJA GENEROSA,0
2013,COLIMA,ALMEJA GENEROSA,0
2013,DF,ALMEJA GENEROSA,0
2013,DURANGO,ALMEJA GENEROSA,0
2013,ESTADO DE MEXICO,ALMEJA GENEROSA,0
2013,GUANAJUATO,ALMEJA GENEROSA,0
2013,GUERRERO,ALMEJA GENEROSA,0
2013,HIDALGO,ALMEJA GENEROSA,0
2013,JALISCO,ALMEJA GENEROSA,0
2013,MORELOS,ALMEJA GENEROSA,0
2013,NAYARIT,ALMEJA GENEROSA,0
2013,NUEVO LEON,ALMEJA GENEROSA,0
2013,OAXACA,ALMEJA GENEROSA,0
2013,PUEBLA,ALMEJA GENEROSA,0
2013,QUERETARO,ALMEJA GENEROSA,0
2013,QUINTANA ROO,ALMEJA GENEROSA,0
2013,SAN LUIS POTOSI,ALMEJA GENEROSA,0
2013,SINALOA,ALMEJA GENEROSA,0
2013,TABASCO,ALMEJA GENEROSA,0
2013,TAMAUUPAS,ALMEJA GENEROSA,0
2013,TLAXCALA,ALMEJA GENEROSA,0
2013,VERACRUZ,ALMEJA GENEROSA,0
2013,YUCATAN,ALMEJA GENEROSA,0
2013,ZACATECAS,ALMEJA GENEROSA,0
2013,SONORA,ALMEJA GENEROSA,342
2013,BAJA CALIFORNIA,ALMEJA GENEROSA,6500
2013,MICHOACAN,ALMEJA GENEROSA,14600
2009,AGUASCAUENTES,ATUN,0
2009,CAMPECHE,ATUN,0
2009,COAHUILA,ATUN,0
2009,DURANGO,ATUN,0
2009,ESTADO DE MEXICO,ATUN,0
2009,HIDALGO,ATUN,0
2009,MORELOS,ATUN,0
2009,NAYARIT,ATUN,0
2009,NUEVO LEON,ATUN,0
2009,PUEBLA,ATUN,0
2009,QUERETARO,ATUN,0
2009,QUINTANA ROO,ATUN,0
2009,SAN LUIS POTOSI,ATUN,0
