Año,ESTADO,ABULON,AGUA MALA- BOLA DE CANON,ALMEJA,ATUN,CALAMAR,CAMARON,CARACOL,DORADO,ESCAMA GENERAL,JAIBA,LANGOSTA,LISA-LISETA,MERO,OSTIÓN,PEPINO,PICUDOS,PULPO,ROBALO,TIBURON Y RAYAS,OTROS
2009,JALISCO,0,0,2442,279,10148,37027,0,1593.9,22676,202,434,11,0,1211.9,0,495,7104,0,0,22777.5
2009,MICHOACAN,0,0,136,120034,518,10298,48,5,18373,559,108,53,8,56,0,100,1516,5,0,26716
2009,MORELOS,0,0,0,0,40,63,0,0,6690,0,0,0,0,0,0,0,0,0,0,728
2009,NAYARIT,0,0,0,0,0,11204,0,1096,7583,7,0,0,0,1520,615,0,0,29,0,686.5
2009,NUEVO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950
2009,OAXACA,0,0,0,150,22.5,1916,121,457,2139.3,502,5,110,0,0,0,0,182,0,100,352
2009,PUEBLA,0,0,17546,0,4402,89082,94,0,24057,1079,10,62,24,111,0,0,246,294,0,2575
2009,QUERETARO,0,0,312,0,556,7136,0,0,16096,340,0,0,0,43,0,0,1116,100,0,618
2009,QUINTANA ROO,0,0,0,0,50,1560.5,2059.6,0,3171,144,4423.04,0,2,0,0,0,507,10,0,540
2009,SAN LUIS POTOSI,0,0,60,0,117,2171.5,22,0,9970.8,103.5,11,0,0,416,529,0,709.8,0,10069,9687
2009,SINALOA,0,140400,801,1700156,835,184108,24.5,1062,3999,1021,0,485,0,301,280,2042,362,0,0,15434
2009,SONORA,0,1073636,0,100,30317,54993,1321,7779,80491,8713,44,120,0,0,0,0,2726,0,0,17
2009,TABASCO,0,0,10,0,1045,1503,4,0,2661.5,34,0,115,0,4588,0,0,64,146.5,23,639
2009,TAMAUUPAS,0,0,30,0,700,1635,0,0,6943,0,19.5,2536,0,40,0,0,0,0,0,2666
2009,TLAXCALA,0,0,197.5,36,725.2,4270.85,36,20,6387.87,322.4,0,40,28,710,0,0,69,34,170.5,2031.13
2009,VERACRUZ,0,0,1020,0,5083.5,56930.4,150,0,19515.7,1140.35,0,0,71,852,0,74,336,2109,16,281.9
2009,YUCATAN,0,0,13,2,601.5,766.1,378.5,0,32755.49,517.8,1235.4,0,47736,3.5,219.9,0,49693.8,0,0,1362.75
2009,ZACATECAS,0,0,551,265,652,3289.17,118.26,5,11655.73,104,14,26001.8,0,67,0,2,789,0,0,2116.8
2010,AGUASCALENTES,0,0,1848,1984.5,9635,51085.36,0,0,288175,192,22,30,0,150,0,6,652,0,6918.5,5960
2010,BAJA CALIFORNIA,81,66180,143485,2863,66690,2340,13113,0,156317,3390,56183,0,0,0,4938,0,73,0,15746,17712.34
2010,BAJA CALIFORNIA SUR,0,0,26236,25.5,127689,879.5,4,433,89197,994,416,0,0,390,0,27,133,0,8621,9310
2010,CAMPECHE,0,0,0,0,349,16936.5,3112.1,0,30.953,470,0,0,0,80,26044,0,25739,0,1057,672
2010,CHIAPAS,0,0,0,0,0,190,0,70,0,0,0,0,0,0,0,0,0,0,400,0
2010,CHIHUAHUA,0,0,1695,2280,76192,157350,850,0,117652,205,300,0,0,0,0,0,30360,0,3535,2698
2010,COAHUILA,0,0,0,0,0,0,0,0,301,12,0,0,0,0,0,0,0,0,0,0
2010,COLIMA,0,0,89.1,142,1389,6843,5,0,854.5,536,70,0,0,20,0,0,174,0,2,613.7
2010,DF,,0,72,2023,735.8,40779,1846,1470,42704,1126,1877.06,1614,100,3805,0,18,6564,202,6962,90176.04
2010,DURANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,ESTADO DE MEXICO,0,0,171,0,311,1120,40,0,8500,270,0,245,15,0,348,0,171,30,82,25
2010,GUANAJUATO,0,0,0,0,0,13,0,0,2107.08,0,0,0,0,0,0,0,0,0,0,3.5
2010,GUERRERO,0,0,30,120,126,32974.26,680,0,3644,0,0,0,0,0,0,195,9697,0,3000,1008
2010,HIDALGO,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0
2010,JALISCO,0,0,4963,8758,15514.5,297896,2207,4380,16946,575,0,0,0,764,6.5,0,80983.65,49,2429,238023.6
2010,MICHOACAN,0,0,9696,150,8463,58217,245,25,19603,649,350,0,0,27,123,145,13423,0,987,10612
2010,MORELOS,0,0,0,0,0,290,0,0,340,26,0,0,0,0,0,0,40,10,10,20
2010,NAYARIT,0,0,0,0,615,22602,4530,288,22882,1285,0,0,0,710,0,0,3030,1008,5500,2253
2010,NUEVO LEON,0,0,45,320,0,277,0,0,6526,0,0,0,0,20,0,0,276,0,0,15
2010,OAXACA,0,0,0,450,1720,4744,174,0,9205,910,45,1410,0,0,0,0,254,60,5303,457
2010,PUEBLA,0,0,1973,69.5,2241.5,16698.5,887.5,400,39344.1,1109,204.9,50,122,890,0,0,2803,975.1,4060,17538.3
2010,QUERETARO,0,0,70,0,305,2929,0,0,6950,100,0,0,0,0,0,0,340,0,500,0
2010,QUINTANA ROO,0,0,0,8,256,8218,30,0,2470,69,967,0,14,18,185,0,505,20,115,657
2010,SAN LUIS POTOSI,0,0,28,15,431,13264.4,40,0,8963.44,46,0,35,0,908,0,53,580.6,10,2904.6,1437
2010,SINALOA,0,0,204,1232038,982,298992.1,2000,2146,143883,3340,0,21668,720,250,0,923,60,0,22034,4841
2010,SONORA,0,158336,216,0,133000,42370,0,5931,49369,1281,8.5,0,0,0,5,0,10,0,38293,100385
2010,TABASCO,0,0,0,0,0,8,4,0,150,5,0,33,0,2904,0,0,0,430,0,3842.3
2010,TAMAUUPAS,0,0,0,0,0,37,0,0,1532.4,0,0,305,0,0,0,0,0,58,0,0
2010,TLAXCALA,0,0,119,0,255.5,1453,9,0,3265,183.5,0,96,0,0,0,0,44,32.5,655,507.5
2010,VERACRUZ,0,0,176,100,272.5,3249.6,1492,0,14096.9,1999.85,0,3488.5,120,210,600,0,286,1286.5,1160,1918
2010,YUCATAN,0,0,119,5,381,1404,261,0,11084.5,33,142.8,0,1743,0,46795,0,12446.4,0,1938,1179
2010,ZACATECAS,0,0,0,0,213,2532.95,0,0,4448.66,2,0,0,15,37,0,0,353.25,0,0,46
2011,AGUASCALENTES,0,0,85.6,59,4,2843,20,0,26637,25,0,0,0,1,0,0,103,28,769,487
2011,BAJA CALIFORNIA,874,0,12714.5,52437,59619.5,15307.5,425,25,58079.5,2885,17921.77,0,0,0,1490.89,28,2081.8,0,13215.62,3975
2011,BAJA CALIFORNIA SUR,20,0,6409,260,13641,2077,0,397,15362,308,1868,300,0,400,360,0,477,1372,10851,158953
2011,CAMPECHE,0,0,0,0,0,779,8281,0,9940.5,1984,0,0,1,0,24842,0,33672,0,280,152
2011,CHIAPAS,0,0,0,0,44,4915,25,0,2590,40,0,0,0,0,0,0,0,0,220,0
